FFT	AudioTools 	v11.9.2 Chris's iPad battery  73%	2020-10-11T10:08:53+09:00	Headset Mic 1 Low Range	D6F24FA5-4535-4333-AB42-0CA52FBBA865
Frequency	dB	Unweighted
7155	59.3
7259	59.6
7365	59.9
7472	60.3
7581	60.7
7691	61.1
7803	61.5
7916	61.9
8032	62.2
8148	62.4
8267	62.8
8387	63.1
8509	63.2
8633	63.3
8758	63.1
8886	62.8
9015	62.5
9146	62
9279	61.4
9414	60.8
9551	60.2
9690	59.5
9831	58.9
9974	57.9
10119	57.4
10266	56.8
10416	56.4
10567	56
10721	55.6
10877	55.3
11035	55
11196	54.8
11358	54.6
11524	54.5
11691	54.3
11861	54.2
12034	54.1
12209	53.9
12386	53.7
12567	53.4
12749	53.1
12935	52.7
13123	52.3
13314	51.8
13507	51.3
13704	50.8
13903	50.4
14105	50
14311	49.6
14519	49.2
14730	48.9
14944	48.7
15162	48.7
15382	48.9
15606	49.2
15833	49.6
16063	50.1
16297	50.5
16534	50.2
16774	48.8
17018	46.4
17266	44.6
17517	44.5
17772	45.3
18030	45.4
18293	44.4
18559	42.8
18829	41.1
19102	39.5
19380	37.7
20000	35.9
overall dB	80.2 dB
decay	Average
averaging	1/24 Octave
source	Headset Mic 1 Low Range
latitude	33.967
longitude	132.116
saved	2020-10-11T10:08:53+09:00
peak	37.7Hz
